FID,OBJECTID,EXPEDIENTE,T_PROCESO,NOMBRE,OBSERV,ID_PROC_PT,COOR_ESTE,COOR_NORTE,Georrefere,Fecha,Sitio,Vereda,Georrefe_1,Orientacio,Orientac_1,Cobertura,Curvatura,Distancia_,Distancia1,Distanci_1,DTM,Geologia,Geomorfolo,NDVI,Orientac_2,Rugosidad,Slope,TPI,UGS
0,773, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d1-IS,"4,533,082.310100000400000","1,676,994.080400000100000",Georreferenciado,30/10/1996,Vía que rodea la Laguna La Cocha. Sector norte de la Laguna La Cocha. Al W del Cerro Campanero. Junto al cauce de la Quebrada Moquí., ,Georreferenciado,0.000000000000000,0.000000000000000,14,1.0339100,174.1049957,"2,041.3299561","1,989.4300537","3,260.5000000",11,8,0.0679817,114.0889969,89,25.6973000,25.4130993,15
1,774, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d2-IS,"4,541,096.339599999600000","1,678,962.879000000000000",Georreferenciado,5/04/2010,Vía que rodea la Laguna La Cocha. Sector W de la Laguna La Cocha. Al NW de la Loma Redonda., ,Georreferenciado,0.000000000000000,0.000000000000000,12,0.4828120,174.1049957,"2,769.6999512",27.9507999,"2,832.5000000",7,70,0.0979053,245.7599945,190,23.4857998,16.3493996,3
2,775, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d3-IS,"4,542,058.012400000400000","1,679,761.947100000000000",Georreferenciado,7/04/2010,Vía que rodea la Laguna La Cocha. Sector W del la Laguna La Cocha. Al NW de la Loma Redonda., ,Georreferenciado,0.000000000000000,0.000000000000000,12,0.2578130,39.5284996,"2,414.3100586",35.3553009,"2,825.6899414",7,70,0.0851644,336.5310059,241,32.0162010,2.5712900,3
3,776, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d4-IS,"4,541,871.541500000300000","1,679,362.028600000100000",Georreferenciado,1/05/2010,Vía que rodea la Laguna La Cocha. Sector W de la Laguna La Cocha. Al NW de la Loma Redonda., ,Georreferenciado,0.000000000000000,0.000000000000000,12,1.8423400,107.5289993,"2,316.2500000",50.0000000,"2,835.6899414",7,61,0.0720573,351.9370117,230,37.3025017,3.4440899,3
4,777, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d5-IS,"4,536,482.698300000300000","1,681,277.774599999900000",Georreferenciado,9/05/2010,Vía que rodea a la Laguna La Cocha. Al sur del cauce de la Quebrada Rio Negro. Al E de la Loma Casanare. Al SE de la Cuchilla El Tábano., ,Georreferenciado,0.000000000000000,0.000000000000000,11,-1.2326601,230.4889984,"1,396.9799805",17.6777000,"2,782.5000000",7,51,0.0355747,128.3280029,106,20.4724007,-10.7200003,43
5,778, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d6-IS,"4,535,121.826000000400000","1,683,188.271900000100000",Georreferenciado,1/06/2010,"Vía que rodea la Laguna La Cocha, sector NW. Junto al cauce de la Quebrada Del Motilón. Al SE de la Cuchilla El Tábano.", ,Georreferenciado,0.000000000000000,0.000000000000000,11,-0.0973438,123.7440033,507.5989990,25.0000000,"2,799.5400391",7,5,0.1234560,102.0729980,102,24.2959995,-4.7150898,43
6,779, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d7-IS,"4,537,360.104500000400000","1,688,387.817400000100000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,14,0.7310940,76.0345001,385.0729980,139.7539978,"2,991.5900879",7,10,0.0767002,140.2910004,111,19.0771008,-2.9575200,8
7,780, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d8-IS,"4,537,391.291100000000000","1,688,510.898300000000000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,14,-1.5982800,12.5000000,512.5000000,127.4749985,"2,997.4399414",7,10,0.0647236,158.5610046,130,15.3670998,-21.5839996,8
8,781, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d9-IS,"4,528,904.710799999500000","1,691,047.736000000000000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,16,-0.1237500,25.0000000,"1,939.1099854",87.5000000,"2,683.3300781",14,23,0.0631738,200.3309937,175,3.3169501,-7.1154799,26
9,782, ,"40,000.000000000000000","40,210.000000000000000",SIMMA,AVRP-d10-IS,"4,524,140.028500000000000","1,696,011.852299999900000",Georreferenciado,18/03/2015,Via Motilon-El Encano,El Encanto,Georreferenciado,0.000000000000000,0.000000000000000,6,0.1442190,145.7740021,"1,913.4399414",137.5000000,"2,734.3601074",7,14,0.0461605,153.7779999,142,11.4089003,1.0319800,40
